RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R000866,Gammon Construction Limited,00806688,"22/F, Tower 1 and 2, The Quayside, 77, Hoi Bun Road, Kwun Tong, Kowloon",25168823,25166260,co.sec@gammonconstruction.com,7 Oct 2026,6 Oct 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades :: Others(Soil and Rock Testing) | 03.04 Electrical | 03.13 Mechanical Handling and Lifting | 03.14 Mechanical Plant and Equipment | 04.04 Hoarding | 04.06 Temporary Electricity Installations
R000974,Sunnic Engineering Limited,17177050,"8/F, Enterprise Square Phase 3, 39, Wang Chiu Road, Kowloon Bay, Kowloon",27538633,27540795,general@sunnichk.com.hk,7 Oct 2023,6 Oct 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Soldier Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001056,China Geo-Engineering Corporation,22151221,"Room 2421-25, 24/F, Sun Hung Kai Centre, No. 30, Harbour Road, Wan Chai, Hong Kong",25119001,25800697,cgchk@cgchk.com.hk,3 Nov 2023,2 Nov 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001076,Sam Woo Bore Pile Foundation Limited,13912753,"Room 901, 9/F, Energy Plaza, No.92, Granville Road, Tsim Sha Tsui, Kowloon",23320783,23850793,info@samwoo-group.com,3 Nov 2021,2 Nov 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles
R001079,Tysan Foundation Geotechnical Limited,21860255,"20/F, One Island South, 2, Heung Yip Road, Wong Chuk Hang, Hong Kong",28823632,28080565,myli@tysan.com,3 Nov 2023,2 Nov 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.02 Foundation and Piling :: Others(Socketed H-pile) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001262,Tysan Foundation Limited,12298635,"20/F, One Island South, 2 , Heung Yip Road, Wong Chuk Hang, Hong Kong",28823632,28080565,project@tysan.com,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.02 Foundation and Piling :: Others(Socketed H-pile) | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001295,Konwall Construction & Engineering Co Ltd,07295595,"Unit 1003-5, 10/F, K Wah Centre, 191, Java Road, Eastern, Hong Kong",25631233,25617122,kce@konwall.com.hk,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.02 Foundation and Piling :: Others(Socketted H-piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Ground investigation
R001346,Lap Kai Engineering Company Limited,04292489,"Flat B, 5/F, Mackenny Centre, 660, Castle Peak Road, Cheung Sha Wan, Kowloon",23752974,23759155,info@lapkai.com,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.02 Foundation and Piling :: Others(Precast Concrete Pile) | 01.02 Foundation and Piling :: Others(Precast Prestressed Tubular Pile) | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation | 03.21 Other E&M Trades :: Welding
R001400,In Construction Limited,20490417,"26/F, Park Avenue Tower , 5, Moreton Terrace, Wan Chai, Hong Kong",25760802,25764236,kitkwan@incon.hk,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Cast in-situ concrete piles) | 01.02 Foundation and Piling :: Others(Socket H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001407,Full Gain Engineering Limited,31461756,"8/F, Enterprise Square Three, No. 39, Wang Chiu Road, Kowloon Bay, Kowloon",27538396,27540795,fullgain@biznetvigator.com,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Soldier Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Ground investigation
R001413,New Concepts Foundation Limited,21310771,"Office B, 3/F, Kingston International Centre, 19, Wang Chiu Road, Kowloon Bay, Kowloon",24717636,24712676,ncfl@ncfl.com.hk,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 03.04 Electrical | 03.15 Plumbing
R001414,Prosper Contractor Limited,20001507,"Room 801-806, 8/F, Tower A, New Mandarin Plaza, 14, Science Museum Road, Yau Tsim Mong, Kowloon",27507008,23632162,prosper@prospercon.com.hk,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 03.06 Fire Services Installation | 03.15 Plumbing
R001463,Workbase Engineering Limited,33786027,"Unit 18, 29/F, New Tech Plaza, 34, Tai Yau Street, San Po Kong, Kowloon",26981181,34623543,biz@workbase.com.hk,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works
R001474,Vibro Construction Company Limited,06853665,"11/F, Chevalier Commercial Centre, 8, Wang Hoi Road, Kowloon Bay, Kowloon",21375500,21375599,email@vibro.com.hk,14 Dec 2023,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R001617,CWF Piling & Civil Engineering Co Ltd,03491397,"14/F, Yau Lee Centre, 45, Hoi Yuen Road, Kwun Tong, Kowloon",28511816,28052902,general@whi.com.hk,13 Jan 2024,12 Jan 2027,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001639,Wyatt Construction Company Limited,04695752,"Room 509, 5/F, Fook Hong Industrial Building, 19, Sheung Yuet Road, Kwun Tong, Kowloon",23180281,31717222,simonlo@wyatt.com.hk,13 Jan 2025,12 Jan 2028,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades :: Pre-stressing system
R001837,Yick Hing Construction Company Limited,04462387,"Block A, 2/F, Ka Ming Court, 688-690 , Castle Peak Road, Sham Shui Po, Kowloon",23944988,27874890,info@yickhingproject.com,26 Jan 2024,25 Jan 2027,01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks)
R001973,Pollard Construction Co Ltd,05922166,"Room 13, 5/F, Block A, Hi-Tech Industrial Centre, 5-21, Pak Tin Par Street, Tsuen Wan, N.T.",28381898,25735417,admin@pollard.com.hk,31 Mar 2024,30 Mar 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks) | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 03.17 Supply and Installation of Pumpsets and Associated Equipment
R001976,Sunley Engineering & Construction Company Limited,07961546,"8/F, Enterprise Square Three, 39, Wang Chiu Road, Kwun Tong, Kowloon",25602028,25606263,sunleyeng@sunley-fdn.com.hk,31 Mar 2024,30 Mar 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork
R002063,Sun Fook Kong (Civil) Limited,05609776,"7/F, High Fashion Centre, 1-11, Kwai Hei Street, Kwai Tsing, New Territories",28281688,28276275,group@sfk.com.hk,31 Mar 2024,30 Mar 2027,"01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades | 02.02 Marble, Granite and Stone Work | 02.03 Joinery and Carpentry | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 03.06 Fire Services Installation | 03.15 Plumbing | 03.17 Supply and Installation of Pumpsets and Associated Equipment | 04.04 Hoarding"
R002433,Hip Seng Foundation Limited,15411204,"8/F, KOHO, 73-75, Hung To Road, Kwun Tong, Kowloon",31102058,31102202,foundation@hipseng.com,13 Jul 2024,12 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork
R002434,Paul Y. Construction & Engineering Co. Limited,09345879,"11/F, Two Sky Parc, 51, Hung To Road, Kwun Tong, Kowloon",28318338,21425832,pyqa@pyengineering.com,13 Jul 2024,12 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Hand-dug caisson | 01.02 Foundation and Piling :: Others(Socket H Pile) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002449,Chevalier (Construction) Company Limited,08131770,"22/F, Chevalier Commercial Centre, 8, Wang Hoi Road, Kwun Tong, Kowloon",23181818,27575669,daniel_leung@chevalier.com,13 Jul 2024,12 Jul 2027,"01.02 Foundation and Piling :: Bored piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Ground investigation | 02.02 Marble, Granite and Stone Work :: Marble/granite work | 02.03 Joinery and Carpentry :: Cabinetry | 02.03 Joinery and Carpentry :: Wooden flooring | 02.03 Joinery and Carpentry :: Partition walls | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation :: Timber doors | 02.05 Shutters/Doors Fabrication and Installation :: Metal doors | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Glazier work | 02.10 Other Finishing Trades and Components :: Ironmongery | 02.10 Other Finishing Trades and Components :: Raised floor | 02.10 Other Finishing Trades and Components :: Toilet and shower cubicle system | 03.15 Plumbing"
R002467,China State Construction Engineering (Hong Kong) Limited,22282529,"29/F, China Overseas Building, 139, Hennessy Road, Wan Chai, Hong Kong",28237872,25285651,cscecdct@cohl.com,11 Aug 2024,10 Aug 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Marine works
R002625,Hop Kee Construction Company Limited,19166891,"Room B, 13/F, Sai Wan Ho Plaza, 68, Shau Kei Wan Road, Eastern, Hong Kong",25689611,25689128,info@hopkeeconstruction.com,22 Nov 2024,21 Nov 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding | 04.05 Temporary Water Supply Installations | 04.07 Temporary Protective and Safety Measures
R002704,Lermond Engineering Limited,09019569,"Unit 1004A, 10/F, East Ocean Centre, 98, Granville Road, Yau Tsim Mong, Kowloon",36221188,36221318,lermond@gmail.com,8 Feb 2026,7 Feb 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 02.06 Tanking and Waterproofing | 04.04 Hoarding | 04.05 Temporary Water Supply Installations
R003296,Excel Engineering Company Limited,04744834,"155, Waterloo Road, Kowloon City, Kowloon",28661022,28661019,excel@excelengco.com,11 May 2024,10 May 2027,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades :: Concrete repair
R003455,Chit Cheung Construction Company Limited,14177219,"7/F, High Fashion Centre, 1-11, Kwai Hei Street, Kwai Tsing, N.T.",28281822,28270736,group@chitcheung.com.hk,28 Sep 2024,27 Sep 2027,"01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.02 Marble, Granite and Stone Work | 02.03 Joinery and Carpentry | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 03.02 Burglar Alarm and Security | 03.06 Fire Services Installation | 03.08 Heating, Ventilation, and Air-conditioning | 03.12 Low Voltage Cubicle Switchboard | 03.15 Plumbing | 03.17 Supply and Installation of Pumpsets and Associated Equipment | 03.21 Other E&M Trades | 04.04 Hoarding | 04.05 Temporary Water Supply Installations"
R003687,Lik Shing Engineering Company Limited,38497724,"Room 10, 30/F, Cable TV Tower, 9, Hoi Shing Road, Tsuen Wan, N.T.",22780039,35778129,info@likshingeng.com,12 May 2026,11 May 2029,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R003841,Fraser Construction Company Limited,19404512,"Room 1122, 11/F, Pacific Link Tower (Southmark), 11, Yip Hing Street, Southern, Hong Kong",27700122,25800470,info@fraserconstruction.com.hk,24 Sep 2026,23 Sep 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works
R004266,Sze Fung Engineering Limited,34386672,"Room 703, 7/F, Parkes Commercial Centre, 2-8, Parkes Street, Jordan, Yau Tsim Mong, Kowloon",39042868,39042869,sfengltd@szefung.com,29 Jan 2026,28 Jan 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation
R004440,Vanbo Engineering Limited,16821345,"Room 103-105, 1/F, New East Ocean Centre, No. 9 , Science Museum Road, Tsim Sha Tsui, Yau Tsim Mong, Kowloon",98689000,23111163,edmondchan1@gmail.com,2 Jun 2026,1 Jun 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Piles Loading Test) | 01.02 Foundation and Piling :: Others(Socketed H-Piles)
R004560,Falcon Foundation Engineering Company Limited,19013341,"Room B, 1/F, Wai Yip Industrial Building, 171, Wai Yip Street, Kwun Tong, Kowloon",23892066,27903673,falcon@falcon-const.com.hk,6 Jul 2026,5 Jul 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Pre-bored H-Pile) | 01.09 General Civil Works :: Earthwork
